recipe,ingredients
Abernethy biscuit,"[caraway seed,hard tack,sugar]"
Houska,"[caraway seed,water,salt,baker's yeast,sea salt,poppy seed,whole wheat flour]"
Shiro (food),"[chickpea,garlic,onions,broad bean]"
Shambar,"[chickpea,beef,pork,pea,wheat,meats,ham,fava bean]"
Toyga soup,"[chickpea,flour,wheat,yogurt,mentha]"
Lagane e cicciari,"[chickpea,garlic,lagane]"
Guasanas,"[chickpea,water,salt]"
Cocido lebaniego,"[chickpea,cabbage,beef,potatoes,pork,collard greens]"
Abgoosht,"[chickpea,dried lime,lamb,common beans,potatoes,tomato sauce,onions,turmeric powder]"
Piti (food),"[chickpea,vegetable,potatoes,lamb and mutton]"
Papadum,"[chickpea,rice flour,lentils,urad (bean)]"
Harira,"[chickpea,flour,rice,olive oil,lamb and mutton,lentils,tomato sauce,chicken,meats,onions]"
Chickpea noghl,"[chickpea,water,rose water,sugar]"
Kwati (soup),"[chickpea,field bean,garden pea,cowpea,field pea,rice bean,soy bean,black gram,green gram]"
Burmese tofu,"[chickpea,gram flour,turmeric powder]"
Ros omelette,"[chickpea,chili peppers,xacuti]"
Chana masala,"[chickpea,garlic,tomato sauce,onions,chili peppers,ginger,coriander]"
Bombay mix,"[chickpea,rice,vegetable oil,lentils,peanut oil,chickpea flour,curry leaves,fried onion]"
Chotpoti,"[chickpea,potatoes,onions,chillies]"
Callos,"[chickpea,beef,chorizo,bell peppers]"
Panipuri,"[chickpea,flour,potatoes,onions]"
Msabbaha,"[chickpea,cumin,lemon,parsley]"
Revithia,"[chickpea,olive oil,onions,rosemary,bay leaf]"
Caldo tlalpeño,"[chickpea,broth,chicken,green bean,carrots]"
Doubles (food),"[chickpea,flour,pepper sauce,chutney,curry,baking powder]"
Fatteh,"[chickpea,flatbread,oil,yogurt]"
Tilslørte bondepiker,"[rusk,whipped cream,bread crumbs]"
Fruit pudding,"[rusk,zante currants,cinnamon,brown sugar,raisins,suet,whole wheat flour]"
Red pudding,"[rusk,beef,fat,pork,spices,suet,whole wheat flour,pork rind,bacon]"
Dakos,"[rusk,oregano,feta,mizithra,tomato sauce,olives]"
Tirokafteri,"[oregano,feta,garlic,olive oil,yogurt,lemon,chili peppers,bell peppers]"
Salchichón,"[oregano,pork,nutmeg]"
Greek salad,"[oregano,feta,salt,olive oil,tomato sauce,onions,olives,sea cucumber]"
Entomatada,"[oregano,garlic,corn tortilla,tomato sauce,onions]"
Menudo (soup),"[oregano,beef,broth,onions,chili peppers,cilantro,lime (fruit)]"
Spanakopita,"[feta,egg,ricotta,scallions,spinach,onions,phyllo,chard,sorrel]"
Spanakorizo,"[feta,rice,spinach]"
Nokul,"[feta,poppy seed,walnuts]"
Gibanica,"[feta,egg,phyllo,sirene]"
Kalitsounia,"[mizithra,flour,honey]"
Dal biji,"[muskmelon,cantaloupe,gram flour]"
Naan qalia,"[mutton,poppy seed,yogurt,lemon,coconut milk]"
Laal maans,"[mutton,garlic,chillies]"
Dalcha,"[mutton,chana dal,garlic,ginger]"
Mutton curry,"[mutton,tomato sauce,coriander]"
Dasik,"[pollen,rice flour,honey]"
Sooth (chutney),"[phoenix dactylifera,tamarind,ginger]"
Sticky toffee pudding,"[phoenix dactylifera,sponge cake,toffee]"
Sheer khurma,"[phoenix dactylifera,milk,peanut butter,rice vermicelli,cashew nut,cardamom]"
Makówki,"[phoenix dactylifera,milk,honey,nut (fruit),cinnamon,poppy seed,vanilla,apricot jam,peanut butter,rum,raisins,dried fruits,sugar]"
Ma'amoul,"[phoenix dactylifera,semolina,pistachios,walnuts]"
Date and walnut loaf,"[phoenix dactylifera,treacle,walnuts]"
Gummy bear,"[flavouring,starch,citric acid,glucose syrup,food colouring,gelatine,sugar]"
Gibraltar rock (candy),"[flavouring,lemon,cloves,peppermint,sugar]"
Lemon drop (candy),"[flavouring,food colouring,sugar]"
Sugar cake,"[flavouring,coconut milk,sugar]"
Granita,"[flavouring,water,sugar]"
Anise of Flavigny,"[flavouring,sugar syrup,anise seed]"
Gumdrop,"[flavouring,gelatine,pectin,sugar]"
Taffy (candy),"[flavouring,vegetable oil,food colouring,peanut butter,sugar]"
Lollipop,"[flavouring,sucrose,corn syrup]"
Sugar mice,"[flavouring,egg,food colouring,golden syrup,icing sugar]"
Sherbet (powder),"[flavouring,acid,base (chemistry),sugar]"
Götterspeise,"[flavouring,thickening agent,food colouring,gelatine,sugar]"
Almond bark,"[flavouring,vegetable oil,food colouring]"
Circus peanut,"[flavouring,food colouring,gelatine,corn syrup,pectin,soy protein,sugar]"
Rock (confectionery),"[flavouring,spearmint,sugar]"
Hard candy,"[flavouring,citric acid,food colouring,fructose,glucose,isomalt,syrup]"
Daube,"[herbes de provence,vegetable,beef,garlic,wine]"
Daun ubi tumbuk,"[dried fish,garlic,cassava,coconut milk,candlenut,galangal,lemon grass,ginger]"
Toto (dessert),"[flour,sucrose,coconut milk]"
Shlishkes,"[flour,egg,mashed potato,streusel]"
Saltine cracker,"[flour,baker's yeast,baking soda]"
Scrapple,"[flour,buckwheat,spices,mush (maize),corn meal]"
Scali bread,"[flour,sesame seeds,water,yeast]"
Sponge cake,"[flour,egg,sugar]"
Tahini cookie,"[flour,tahini,peanut butter,sugar]"
Stroopwafel,"[flour,egg,milk,baker's yeast,cinnamon,brown sugar,peanut butter]"
Taftan (bread),"[flour,saffron,cardamom]"
Tortita negra,"[flour,milk,salt,brown sugar,peanut butter]"
Sugar cookie,"[flour,egg,vanilla,baking powder,peanut butter,baking soda,sugar]"
Schnitz un knepp,"[flour,milk,apple,ham,pork shoulder]"
Sata andagi,"[flour,egg,sugar]"
Spritzgebäck,"[flour,egg,peanut butter,sugar]"
Shortcrust pastry,"[flour,water,shortening,margarine,peanut butter,lard]"
Sobao,"[flour,egg,salt,baker's yeast,peanut butter,rum,zest (ingredient),anise seed,sugar]"
Singing hinny,"[flour,milk,zante currants,baking powder,peanut butter,lard,buttermilk]"
Sushki,"[flour,egg,sugar]"
Sandbakelse,"[flour,egg,peanut butter,sugar]"
Salzburger Nockerl,"[flour,egg,vanilla,sugar]"
Sugoli,"[flour,must,sugar]"
Tirggel,"[flour,water,honey,sugar]"
Vegetable Handva,"[flour,sesame seeds,white gourd,turmeric powder]"
Sachima,"[flour,peanut butter,rock candy]"
Schneeball (pastry),"[flour,egg,shortcrust pastry,peanut butter,heavy cream,schnaps,sugar]"
Speculaas,"[flour,cinnamon,black pepper,nutmeg,cloves,cardamom,ginger]"
Sabaayad,"[flour,water,salt]"
Smažený sýr,"[flour,egg,cheddar cheese,bread crumbs]"
Sohan (confectionery),"[flour,egg,vegetable oil,peanut butter,pistachios,saffron,almond meal,rose water,cardamom,sugar]"
Streusel,"[flour,peanut butter,sugar]"
Tourin,"[flour,egg,garlic,onions,stock]"
Welsh cake,"[flour,zante currants,sultana (grape),raisins]"
Yogurt soup,"[flour,egg,rice,yogurt,spinach,mentha,parsley]"
Soda bread,"[flour,salt,sodium bicarbonate,buttermilk]"
Velhote,"[flour,egg,cinnamon,sugar]"
Swiss roll,"[flour,egg,butter cream,jam,sugar]"
Syrniki,"[flour,egg,raisins,vanilla extract,quark (cheese),sugar]"
Zürcher Murren,"[flour,milk,baker's yeast,leavening agent,peanut butter,malt,sugar]"
Snickerdoodle,"[flour,cinnamon sugar,peanut butter,sugar]"
Wonton noodles,"[flour,egg,pork,dried shrimp]"
Wibele,"[flour,egg,powdered sugar,vanilla sugar]"
Shortcake,"[flour,milk,peanut butter,heavy cream,sugar]"
Tulumba,"[flour,egg,water,salt,peanut butter,syrup]"
Snow skin mooncake,"[flour,milk,vegetable oil,glutinous rice flour,mung bean,sugar]"
Shrewsbury cake,"[flour,egg,peanut butter,zest (ingredient),sugar]"
Sugar pie,"[flour,vanilla,peanut butter,heavy cream]"
Sourdough,"[flour,water,salt]"
Wacky cake,"[flour,vinegar,cocoa powder,vegetable oil,baking soda,vanilla extract,sugar]"
Tuile,"[flour,white sugar,peanut butter,almond meal]"
Zwieback,"[flour,egg,sugar]"
Sohan papdi,"[flour,milk,ghee,gram flour,cardamom,sugar]"
Zopf,"[flour,egg,milk,baker's yeast,peanut butter]"
Spaghetti,"[flour,water,semolina]"
Tollatsch,"[flour,lebkuchen,pork,raisins,schmaltz,bread crumbs,almond meal,gribenes,sugar]"
Streuselkuchen,"[flour,fat,sugar]"
Schnecken,"[flour,egg,milk,salt,nut (fruit),baker's yeast,shortening,cinnamon,vanilla,raisins,sour cream,sugar]"
Thalipeeth,"[flour,rice,cumin,wheat,coriander]"
Bath Oliver,"[flour,milk,baker's yeast,peanut butter]"
Neula,"[flour,egg,peanut butter,sugar]"
Bebinca,"[flour,ghee,coconut milk,sugar]"
Bethmännchen,"[flour,egg,powdered sugar,marzipan,almond meal,rose water]"
Cornell bread,"[flour,powdered milk,cereal germ,soy bean]"
Huangqiao Sesame Cake,"[flour,salt,pork,baker's yeast,onions,caramel,alkali,lard,sesame oil]"
Mekitsa,"[flour,egg,leavening agent,oil,yogurt]"
Better than sex cake,"[flour,egg,sugar]"
Herman cake,"[flour,milk,yeast,sugar]"
Kue cubit,"[flour,milk,baking powder,sugar]"
Afghan biscuit,"[flour,cocoa powder,corn flakes,peanut butter,walnuts,white chocolate,sugar]"
Jumble (cookie),"[flour,egg,sugar]"
Anzac biscuit,"[flour,golden syrup,rolled oats,desiccation,peanut butter,sugar]"
Quarkkäulchen,"[flour,egg,dough,quark (cheese)]"
Chomchom,"[flour,milk,heavy cream,sugar]"
Hojuela,"[flour,egg,sugar]"
Kołacz,"[flour,dough,peanut butter,cheddar cheese]"
Apam balik,"[flour,egg,water,margarine,baking powder,peanut oil,peanut butter,sodium bicarbonate,sugar]"
Ducana,"[flour,water,salt,nutmeg,sweet potato,coconut milk,vanilla extract,sugar]"
Dovga,"[flour,egg,rice,yogurt,spinach,mentha,dill,coriander]"
Kaiserschmarrn,"[flour,egg,milk,peanut butter,sugar]"
Hertzoggie,"[flour,egg,salt,desiccated coconut,margerine,apricot jam,peanut butter,baking soda,sugar]"
Inipit,"[flour,milk,lard,sugar]"
King Kong milk candy,"[flour,egg,milk,peanut butter]"
Ladyfinger (biscuit),"[flour,egg,sponge cake,powdered sugar,sugar]"
Israeli eggplant salad,"[flour,egg,olive oil,onions]"
Cuban bread,"[flour,water,lard,vegetable shortening]"
Osmania Biscuit,"[flour,milk,salt,sugar]"
Mantecadas,"[flour,egg,peanut butter,sugar]"
Chocolate biscuit,"[flour,cocoa powder,white chocolate]"
Boxty,"[flour,egg,potatoes,baking soda,buttermilk]"
Manjū,"[flour,buckwheat,rice,red bean paste]"
Focaccia,"[flour,water,salt,baker's yeast,cooking oil]"
Belgian waffle,"[flour,egg,milk,baking powder,peanut butter,sugar]"
Boyoz,"[flour,tahini,sunflower seed oil]"
Baumkuchen,"[flour,egg,vanilla,peanut butter,sugar]"
Party ring,"[flour,icing,food colouring,carob gum,sugar]"
Karintō,"[flour,brown sugar,yeast]"
Kai kou xiao,"[flour,egg,maltose,sesame seeds,peanut oil,baking soda,sugar]"
Easter biscuit,"[flour,egg,zante currants,baking powder,peanut butter,sugar]"
Malooga,"[flour,water,salt,baker's yeast,ghee]"
Kaldereta,"[flour,garlic,potatoes,onions,carrots,bell peppers]"
Far Breton,"[flour,egg,milk]"
Cupcake,"[flour,egg,icing,peanut butter,cake decorating,sugar]"
Challah,"[flour,egg,water,salt,baker's yeast,sugar]"
Berner Honiglebkuchen,"[flour,milk,honey,margarine,icing,potassium carbonate]"
Apple strudel,"[flour,apple,oil,peanut butter]"
Egg tart,"[flour,egg,milk,peanut butter,sugar]"
Pineapple bun,"[flour,egg,lard,sugar]"
Red velvet cake,"[flour,beet root,cocoa powder,cream cheese,food colouring,peanut butter,buttermilk,sugar]"
Ghoriba,"[flour,peanut butter,almonds,sugar]"
Poulet au fromage,"[flour,egg,salt,black pepper,sauces,nutmeg,chicken,gruyère (cheese),white wine,peanut butter,crème fraîche]"
Butterkuchen,"[flour,peanut butter,sugar]"
Bundt cake,"[flour,egg,sugar]"
Desem,"[flour,spelt,amaranth,kamut]"
Dizé milé,"[flour,water,salt,cinnamon,vanilla,baking powder,nutmeg,lemon,lard,sugar]"
Quetschentaart,"[flour,milk,baker's yeast,peanut butter,damson plum]"
Hard dough bread,"[flour,water,salt,baker's yeast,sugar]"
Oliebol,"[flour,egg,milk,salt,baking powder,zest (ingredient),ribes,sultana (grape),raisins,yeast,succade]"
Colomba di Pasqua,"[flour,egg,pearl sugar,peanut butter,candied peel,almond meal,sugar]"
Pantruca,"[flour,water,oil]"
Banitsa,"[flour,egg,water,yogurt,sirene]"
Kiszczonka,"[flour,milk,spices,black pudding]"
Flour kurabiye,"[flour,vanilla,peanut butter,sunflower seed oil]"
Buttery (bread),"[flour,baker's yeast,vegetable oil,peanut butter,lard]"
Blanquette de veau,"[flour,veal,peanut butter,heavy cream,mirepoix (cuisine)]"
Beaten biscuit,"[flour,lard,sugar]"
Dumpling,"[flour,potatoes,brown bread]"
Castella,"[flour,egg,mizuame,sugar]"
Kaiser roll,"[flour,salt,malt,barm]"
Kotlet schabowy,"[flour,egg,turkey meat,pork,spices,oil,chicken,lard,bread crumbs]"
Angel cake,"[flour,egg,vanilla,icing,sugar]"
Mustacciuoli,"[flour,olive oil,cloves,coffee,almond meal,sugar]"
Crumble,"[flour,vegetable,fruit,meats,peanut butter,cheddar cheese,sugar]"
Pestil,"[flour,nut (fruit),must]"
Kesme,"[flour,egg,water,salt]"
Laddu,"[flour,milk,sugar]"
Pajeon,"[flour,rice flour,batter (cooking),scallions]"
Khapse,"[flour,egg,peanut butter,sugar]"
Butter cake,"[flour,egg,peanut butter,sugar]"
Cake,"[flour,egg,peanut butter,vegetable fats and oils,sugar]"
Linzer torte,"[flour,egg,nut (fruit),cinnamon,peanut butter,zest (ingredient),walnuts,redcurrants,almond meal]"
Mandelkubb,"[flour,egg,ammonium carbonate,almond meal,sugar]"
Fánk,"[flour,egg,milk,oil,peanut butter,rum,yeast]"
Potatonik,"[flour,potatoes,baker's yeast,onions]"
Blodpalt,"[flour,potatoes,blood]"
Pfeffernüsse,"[flour,cinnamon,brown sugar,cloves,sugar]"
Potato pancake,"[flour,egg,potatoes,cooking oil]"
Apple cake,"[flour,apple,peanut butter,sugar]"
Cameo Creme,"[flour,cocoa solids,coconut milk,sugar]"
Neapolitan pizza,"[flour,tomato sauce,mozzarella]"
Madeleine (cake),"[flour,egg,almond meal,sugar]"
Churchkhela,"[flour,nut (fruit),must]"
Depression cake,"[flour,pecan,prunes,nut (fruit),spices,apple,nutmeg,cloves,raisins,pear,almond meal,allspice]"
Maruya (food),"[flour,batter (cooking),white sugar,saba banana]"
Chatti Pathiri,"[flour,egg,oil]"
Pandesal,"[flour,egg,salt,baker's yeast,sugar]"
Macaroni and cheese,"[flour,milk,macaroni,peanut butter,cheddar sauce,parmesan]"
Nonnevot,"[flour,milk,brown sugar,peanut butter,lard,yeast]"
Pound cake,"[flour,egg,peanut butter,sugar]"
Kopytka,"[flour,potatoes,onions,cheddar cheese,bacon]"
Biscotti,"[flour,egg,pine nuts,almond meal,sugar]"
Piadina,"[flour,olive oil,lard]"
Fa gao,"[flour,yeast,sugar]"
Genoa cake,"[flour,egg,zante currants,cherries,peanut butter,raisins,sugar]"
Bhatoora,"[flour,ghee,yogurt,yeast]"
Marraqueta,"[flour,salt,leavening agent]"
Flatbread,"[flour,water,salt]"
Bolo de rolo,"[flour,egg,peanut butter,goiabada,sugar]"
Devil's food cake,"[flour,egg,peanut butter,cocoa solids]"
Choux pastry,"[flour,egg,peanut butter]"
Pain brié,"[flour,water,baker's yeast]"
Hefekranz,"[flour,egg,baker's yeast,peanut butter,sugar]"
Kubaneh,"[flour,water,salt,baker's yeast,vegetable oil,peanut butter,sugar]"
Idrijski žlikrofi,"[flour,egg,potatoes,lard]"
Coco bread,"[flour,baker's yeast,coconut milk]"
Kitcha,"[flour,water,salt]"
Basler Brot,"[flour,baker's yeast,pre-ferment]"
Allerheiligenstriezel,"[flour,egg,milk,baker's yeast,shortening,peanut butter,raisins]"
